URL,AFFILIATE_ID,MARKETPLACE_PRODUCT_ID,CREATED_AT,CLOSED_AT
https://meli.me/mla/mla34407293?aff=emmadiaz3198,1,MLA34407293,2026-01-12,
https://meli.me/mla/mla11160624?aff=emmadiaz3198,1,MLA11160624,2026-02-14,2026-02-22
https://meli.me/mla/mla17524484?aff=emmadiaz3198,1,MLA17524484,2026-01-30,2026-02-13
https://meli.me/mlb/mlb37620130?aff=gabrielalves8705,2,MLB37620130,2026-02-22,
https://meli.me/mlb/mlb79163579?aff=gabrielalves8705,2,MLB79163579,2025-12-31,
https://meli.me/mlb/mlb55118719?aff=gabrielalves8705,2,MLB55118719,2026-02-01,2026-02-25
https://meli.me/mlb/mlb25447375?aff=gabrielalves8705,2,MLB25447375,2026-02-03,
https://meli.me/mlb/mlb21065018?aff=gabrielalves8705,2,MLB21065018,2026-03-14,2026-03-17
https://meli.me/mlb/mlb13106056?aff=gabrielalves8705,2,MLB13106056,2026-02-06,
https://meli.me/mlb/mlb93370099?aff=gabrielalves8705,2,MLB93370099,2026-02-25,
https://meli.me/mlb/mlb34565452?aff=gabrielalves8705,2,MLB34565452,2026-03-10,
https://meli.me/mlc/mlc23949904?aff=matiasperez7188,3,MLC23949904,2026-03-18,
https://meli.me/mlc/mlc74521947?aff=matiasperez7188,3,MLC74521947,2026-03-14,
https://meli.me/mlc/mlc16359211?aff=javierasilva628,4,MLC16359211,2026-03-05,
https://meli.me/mlc/mlc96779127?aff=javierasilva628,4,MLC96779127,2025-12-25,
https://meli.me/mlc/mlc14651650?aff=javierasilva628,4,MLC14651650,2026-02-08,
https://meli.me/mlm/mlm95081904?aff=javierlopez4717,5,MLM95081904,2026-02-02,2026-02-16
https://meli.me/mlm/mlm87714271?aff=javierlopez4717,5,MLM87714271,2026-02-07,
https://meli.me/mlb/mlb31625610?aff=pedrosilva724,6,MLB31625610,2026-03-18,
https://meli.me/mlb/mlb17069046?aff=pedrosilva724,6,MLB17069046,2026-03-17,
https://meli.me/mlm/mlm24393483?aff=marianaramirez8060,7,MLM24393483,2026-02-22,2026-03-16
https://meli.me/mlm/mlm72977477?aff=marianaramirez8060,7,MLM72977477,2026-02-10,
https://meli.me/mlb/mlb69589268?aff=isabelaoliveira5464,8,MLB69589268,2026-02-19,2026-02-23
https://meli.me/mlb/mlb50725755?aff=isabelaoliveira5464,8,MLB50725755,2026-02-27,
https://meli.me/mlb/mlb41746096?aff=fernandalima4369,9,MLB41746096,2026-02-24,
https://meli.me/mlb/mlb94987875?aff=fernandalima4369,9,MLB94987875,2026-02-28,2026-03-09
https://meli.me/mlm/mlm74612459?aff=marianamorales649,10,MLM74612459,2026-03-08,2026-03-17
https://meli.me/mlm/mlm55154431?aff=marianamorales649,10,MLM55154431,2026-03-09,2026-03-16
https://meli.me/mlm/mlm77738529?aff=marianamorales649,10,MLM77738529,2026-03-16,2026-03-17
https://meli.me/mlb/mlb72938113?aff=beatrizribeiro8680,11,MLB72938113,2026-03-10,
https://meli.me/mlb/mlb68066735?aff=beatrizribeiro8680,11,MLB68066735,2026-01-18,
https://meli.me/mlb/mlb64575484?aff=pedroferreira864,12,MLB64575484,2026-01-30,2026-03-01
https://meli.me/mlb/mlb27850457?aff=pedroferreira864,12,MLB27850457,2026-02-12,
https://meli.me/mla/mla47292003?aff=nicolassanchez3274,13,MLA47292003,2026-03-18,
